prioridad,producto,multiunidad,razon_social,establecimientos,tamano,sector,actividad,correo,correo_nominal,telefono,web,colonia,cp
88,03 Expediente Vivo,no,QUESOS Y QUESOS SA DE CV,5,251+,Manufactura,Elaboración de derivados y fermentos lácteos,MSANCHEZ@QUESOSYQUESOS.COM.MX,no,,QUESOSYQUESOS.COM,CUARTEL ZONA,83137
88,03 Expediente Vivo,sí,SERVICIOS ADMINISTRATIVOS OSLO SA DE CV,44,251+,Hospedaje y alimentos,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",OBED.CONTLA@CAFFENIO.COM,sí,,WWW.CAFFENIO.COM,HERMOSILLO CENTRO,
82,03 Expediente Vivo,no,SONORA S PLAN S DE RL DE CV,4,251+,Manufactura,Fabricación de componentes electrónicos,CIBARRA@COLLECTRON.COM,no,,WWW.SONITRONIES.COM,LATITUD,
81,03 Expediente Vivo,sí,QAR SUPERMERCADOS SAPI DE CV,7,101-250,Comercio menudeo,Comercio al por menor en supermercados,CARLOS.LUNA@ABARREY.COM,sí,6622615500,WWW.ABARREY.COM,ARBOLEDAS SECCION LOS FRESNOS,
81,03 Expediente Vivo,no,SEC,14,101-250,Educación,Escuelas del sector público de educación para necesidades especiales,CAMENUMERO7@GMAIL.COM,no,6622202315,WWW.CECYTIS.EDU,CENTRO,83340
81,03 Expediente Vivo,sí,DAQU DE SONORA SA DE CV,17,101-250,Hospedaje y alimentos,"Cafeterías, fuentes de sodas, neverías, refresquerías y similares",GCOLORES@GGEF.MX,no,6621578274,WWW.DAIRYQUEEN.COM.MX,COLINAS DEL BACHOCO,
79,03 Expediente Vivo,no,AMP AMERMEX SA DE CV,3,251+,Manufactura,Fabricación de componentes electrónicos,BENJAMIN.GARCIA@TE.COM,sí,6622982320,WWW.TECONNECTIVITY.COM,EL LLANO,
79,03 Expediente Vivo,sí,ALBATROS AUTOBUSES SA DE CV,3,251+,Transportes,Transporte colectivo foráneo de pasajeros de ruta fija,DESPACHOBAZ@GMAIL.COM,no,6622138224,ALBATROSAUTOBUSES.COM,REVOLUCION UNO,83078
78,03 Expediente Vivo,no,PROVEEDOR DEL HERRERO DEL NOROESTE SAPI DE CV,5,101-250,Comercio mayoreo,Comercio al por mayor de materiales metálicos para la construcción y l,CARLOS.SALAZAR@PROHENOSA.MX,sí,,,SOLIDARIDAD,
78,03 Expediente Vivo,sí,TORNILLOS Y MANGUERAS DE SONORA SA DE CV,5,101-250,Comercio menudeo,Comercio al por menor en ferreterías y tlapalerías,JSALAZAR@TOMASON.COM.MX,no,,WWW.TOMASON.COM.MX,OLIVARES,83180
76,03 Expediente Vivo,no,PECUARIA SONORENSE SA DE CV,3,251+,Agro,Servicios relacionados con la cría y explotación de animales,CONTADOR@AGROVAL.MX,no,,,LA COSTA,83344
76,03 Expediente Vivo,no,SONORA AGROPECUARIA SA DE CV,3,251+,Manufactura,Elaboración de alimentos para animales,LINDA.MORA@BACHOCO.NET,sí,,WWW.BACHOCO.COM,PARQUE INDUSTRIAL,83299
76,03 Expediente Vivo,no,LATECOERE MEXICO SA,3,251+,Manufactura,Fabricación de equipo aeroespacial,GLADISVANESSA.MORENOMORALES@LATECOERE.AERO,sí,,WWW.LATECOERE.AERO,LA MANGA,
73,03 Expediente Vivo,no,CT INTERNACIONAL DEL NOROESTE SA,2,251+,Comercio mayoreo,"Comercio al por mayor de mobiliario, equipo, y accesorios de cómputo",HECTOR.CUEN@CTIN.COM.MX,sí,6621110469,WWW.CTONLINE.COM,CENTRO,
72,03 Expediente Vivo,sí,CLUB DE GOLF LOS LAGOS SA DE CV,4,101-250,Esparcimiento,Campos de golf,CONTABILIDAD@LOSLAGOS.COM.MX,no,,WWW.LOSLAGOSCLUBCAMPESTRE.COM,LOS LAGOS,83245
71,03 Expediente Vivo,no,HIELERIA VERACRUZ SA DE CV,5,51-100,Manufactura,Elaboración de hielo,HVERACRUZ@GMAIL.COM,no,6621201908,WWW.HIELERIAERACRUZ.COM,EL LLANO,
71,03 Expediente Vivo,sí,ESTACION PIRU SA DE CV,15,51-100,Comercio menudeo,Comercio al por menor de gasolina y diesel,ATENCION.CLIENTES@RENDILITROS.COM,sí,6632029176,WWW.RENDICHICAS.COM,EL LLANO,
70,03 Expediente Vivo,no,FRIGORIFICA SONORENSE DJ SA DE CV,2,251+,Manufactura,"Corte y empacado de carne de ganado, aves y otros animales comestibles",JESUS.SOTO@CARNESJC.COM,sí,,WWW.CARNESJC.COM,NINGUNO,
70,03 Expediente Vivo,no,CELULOSA Y CORRUGADOS DE SONORA SA DE CV,2,251+,Manufactura,Fabricación de envases de cartón,IANTELO@CECSO.COM.MX,no,,WWW.CESO.MX,PARQUE INDUSTRIAL,83299
70,03 Expediente Vivo,no,IMPRESORA Y EDITORIAL SA DE CV,2,251+,Manufactura,"Impresión de libros, periódicos y revistas",MLONG@ELIMPARCIAL.COM,no,,WWW.ELIMPARCIAL.COM,CENTRO,
70,03 Expediente Vivo,no,IACNA HERMOSILLO S DE R.L DE C.V SA,2,251+,Manufactura,Fabricación de autopartes de plástico con y sin reforzamiento,XMIRANDA@IACGROUP.COM,no,,,PARQUE INDUSTRIAL DYNATECH SUR,83299
70,03 Expediente Vivo,no,FAURECIA SISTEMAS AUTOMOTRICES DE MEXICO SA DE CV,2,251+,Manufactura,Fabricación de otras partes para vehículos automotrices,JUANCARLOS.VAZQUEZ@FAURECIA.COM,sí,,WWW.FAURECIA.COM,DYNATECH SUR,83297
70,03 Expediente Vivo,no,MARTINREA AUTOMOTIVE STRUCTURES SA,2,251+,Manufactura,Fabricación de partes de sistemas de dirección y de suspensión para ve,ALEJANDRO.RIOS@MARTINREA.COM,sí,,WWW.MARTINREA.COM,DYNATECH SUR,83297
70,03 Expediente Vivo,no,NORTH AMERICAN INTERCONNECT S DE RL DE CV,2,251+,Manufactura,Fabricación de cables de conducción eléctrica,ARAMOS@NAI-GROUP.COM,no,,WWW.NAI-GROUP.COM,PALO VERDE,83280
70,03 Expediente Vivo,no,CITRUS GAME SAPI DE CV,2,251+,Comercio mayoreo,Comercio al por mayor de frutas y verduras frescas,JOELENCINAS@CITRUSGAME.COM.MX,no,,WWW.CITRUSGAMES.COM.MX,LA MANGA,83174
